Time,Day,Month,Year,B1,BG1,BG2,BN8,CGP2,CGW1,CGW2,H1,L1,L2,P1,P2,P3,S1,S2,S3,SE,W1,W2,W3
2001-07-28,28,7,2001,"1,175","1,080","1,115",884,"1,330","2,265","1,938","1,158","1,436","1,029","1,340","1,471","1,323","3,299","3,086","4,219","3,052","2,488","1,371","1,752"
2001-08-13,13,8,2001,"1,288","1,044","1,304","1,221","1,252","2,377","2,184","1,176","1,325","1,046","1,447","1,619","1,404","3,331","2,959","2,634","3,495","2,672","1,538","1,863"
2001-08-29,29,8,2001,"1,192",719,"1,305","1,051","1,279","1,966","2,021","1,063","1,294",986,"1,345","1,476","1,329","3,063","2,274","3,036","3,442","2,685","1,415","1,706"
2001-09-14,14,9,2001,"1,151",948,"1,254","1,051","1,339","1,761","1,705","1,153","1,315",970,"1,350","1,502","1,316","2,707","2,500","3,996","3,595","2,464","1,345","1,605"
2001-09-30,30,9,2001,"1,202",972,"1,276","1,200","1,429","2,192","2,009","1,155","1,416","1,122","1,340","1,580","1,430","2,445","2,970","3,291","3,553","2,693","1,547","1,705"
2001-10-16,16,10,2001,"1,207",937,"1,237","1,071","1,322","1,462","1,850",996,"1,356",981,"1,240","1,412","1,286","2,834","2,933","3,066","3,086","2,553","1,408","1,563"
2001-11-01,1,11,2001,"1,357","1,036","1,575",845,"1,057","1,803","1,856","1,224","1,156",905,"1,395","1,450","1,475","2,468","2,632","3,234","2,770","2,416","1,381","1,621"
2001-11-17,17,11,2001,"1,367","1,312","1,818","1,137","1,569","1,384","1,918","1,241","1,190",609,"1,358","1,516","1,355","3,510","2,425","2,509","3,156","3,045","1,318","1,723"
2001-12-03,3,12,2001,"1,085","1,040","1,069","1,078","1,443","2,077","1,718",787,"1,046",855,"1,426","1,626","1,680","3,995","3,328","2,342","4,023","2,016","1,439","1,439"
2001-12-19,19,12,2001,"1,720","1,518","2,015","1,074","1,189","1,040","1,685","1,364","1,088",833,"1,392","1,624","1,677","3,673","3,260","2,516","2,157","3,331","1,350","1,598"
2002-01-01,1,1,2002,"1,217","1,079","1,271",810,"1,189","1,494","1,685","1,015","1,088",860,"1,328","1,428","1,563","5,711","3,672","4,679","3,060","2,883","1,302","1,693"
2002-01-17,17,1,2002,"3,081","2,554","3,044","1,171","2,324","2,871","1,595","2,009","1,511",890,"2,133","1,814","1,897","5,505","5,591","3,379","3,812","3,622","1,635","1,742"
2002-02-02,2,2,2002,"2,144","1,787","2,213",904,"1,602","3,230","1,994","1,441","1,362","1,014","1,621","1,645","1,616","4,814","3,436","5,638","2,793","3,395","1,452","1,707"
2002-02-18,18,2,2002,"1,710","1,557","2,130",947,"1,716","4,297","3,126","1,328","1,537",839,"1,411","1,573","1,695","5,738","4,197","2,935","4,134","3,744","1,498","1,966"
